emote_name,text_description_conditional,text_description_unconditional
has0head,an emote showing a sad face with a blue tear on it,a cartoon image of a cat with a blue tear on its face
has5,an emote showing a bald man with a bow tie and glasses,a close up of a man wearing a bow tie and glasses
hasAY,an emote showing a man with a beard and a hat,a close up of a cartoon man with a beard and a hat
hasBOOMER,an emote showing a man with a beard and sunglasses,a man with a beard and sunglasses is smiling
hasBaited,an emote showing off his smile while holding a cell phone,smiling man with glasses and a hat on his head
hasBoot,an emote showing a sad face with a broken computer,a close up of a cartoon frog with a broken arm
hasBuff,an emote showing off his muscles and a smile,cartoon of a man with a large chest and a big smile
hasCapital,an emote showing a man with a magnifying eyepiece,a close up of a cartoon character with a magnifying lens
hasChair,an emote showing a chair with a face and a seat,a close up of a cartoon chair with a black seat and a brown seat
hasChud,an emote showing a man with a hat and a banana in his mouth,a close up of a cartoon character with a hat and tie
hasComfy,an emote showing a man with a red hoodie and stars on his face,a cartoon image of a man with a red hoodie and stars on his face
hasD,an emote showing a man with a mustache and a mustache on his face,a cartoon image of a man with a mustache and a beard
hasEZ,an emote showing a very large head with a lot of hair,a close up of a cartoon character with a bunch of hair
hasFatty,an emote showing a man eating a cookie with a big smile,cartoon image of a man eating a cookie with a big smile
hasFlex,an emote showing off his muscles and chest with a tie around his neck,a close up of a cartoon man with a tie on his chest
hasGachi,an emote showing a man with a beard and a colorful shirt,there is a man with a beard and a colorful shirt
hasGun,an emote showing a gun with a face and a gun in it,cartoon image of a man holding a gun with a face
hasHAAA,an emote showing his tongue and a beard,arafed man with a beard and a white shirt is making a funny face
hasHaram,an emote showing a close up of a man's face with the words haram,a close up of a poster with a man's face on it
hasHi,an emote showing a thumbs up with a dog's face,a close up of a dog with a paw on its head
hasHmm,an emote showing a sad face with glasses on,a cartoon image of a man with glasses and a mustache
hasHug,an emote showing a man holding a dog and smiling,a close up of a person holding a dog with a headphone
hasKapp,an emote showing a man with a beard and a beard brush,arafed man with a beard and a beardlock smiling
hasKkona,an emote showing a man with a cigarette in his mouth,a close up of a man wearing a red hat with a cigarette in his mouth
hasKomrade,an emote showing a dog wearing a hat and a crown,a close up of a dog wearing a hat with a crown on it
hasL,an emote showing a dog holding a heart in its paws,a close up of a dog holding a heart in its paws
hasLeft,an emote showing off his muscles and biceps muscles,a close up of a man flexing his muscles with a black background
hasLost,an emote showing a woman's tongue with a surprised look,a close up of a woman with a surprised look on her face
hasMad,an emote showing a man with a red face and glasses,a close up of a man with a red shirt and glasses
hasMald,an emote showing a sad face with a big nose,a cartoon image of a brown and white dog with big eyes
hasMods,an emote showing a sad face with glasses and a mustache,a cartoon image of a man with glasses and a beard
hasNerd,an emote showing a hand with a finger up and a toothbrush,arafed man with glasses and beard holding up a yellow sign
hasO,an emote showing two glasses of red wine with their hands,cartoon of a man holding two glasses of red wine
hasPOGGERS,an emote showing a very large smile with big eyes,a cartoon image of a man with a big smile on his face
hasPOGGIES,an emote showing a very large smile with a big mouth,a close up of a cartoon character with a big smile
hasPains,an emote showing a man with a beard and a tie,a close up of a man with a beard and a tie
hasPause,an emote showing a man with glasses and a mustache,cartoon of a man with glasses and a mustache with a mustache
hasPog,an emote showing a man with a mustache and glasses,a close up of a man with a mustache and glasses
hasPray,an emote showing a man with glasses and a beard holding a banana,a close up of a man with glasses and a beard holding a banana
hasPrime,an emote showing a dog wearing a crown on its head,a close up of a dog wearing a crown on its head
hasREE,an emote showing a tooth with a chain around it,cartoon of a man with a mouth full of money
hasRage,an emote showing a man with a red face and a red light,a close up of a person with a red face and a red light
